col,thresh,full,average,final
contact_pred_rolling_33,0.4,0.7439281935868641,0.6006395214234701,0.7643856634801386
contact_pred_rolling_39,0.4666666666666667,0.7451198051996722,0.6235192198067139,0.7636074907838357
contact_pred_rolling_30,0.4,0.7438903894409953,0.6024253897681517,0.763317800103264
contact_pred_rolling_30,0.43333333333333335,0.743403898361503,0.6168694962513732,0.762545127101522
contact_pred_rolling_39,0.43333333333333335,0.7462392513441437,0.6099054748233593,0.7621294249040688
contact_pred_rolling_33,0.43333333333333335,0.7429880111196562,0.6146851533176918,0.7618666083455418
contact_pred_rolling_36,0.43333333333333335,0.7460680255288317,0.6116006992170625,0.7616732988197427
contact_pred_rolling_42,0.4666666666666667,0.7465195962654216,0.6223693045654083,0.7614729650205032
contact_pred_rolling_54,0.4666666666666667,0.7518213377801585,0.6101999306986802,0.7607282137009655
contact_pred_rolling_27,0.4,0.7415648315805718,0.6054844314225818,0.7606911978188339
contact_pred_rolling_57,0.4666666666666667,0.7516600972067735,0.6056671509683854,0.7605077106499382
contact_pred_rolling_24,0.43333333333333335,0.7389283016496712,0.6237138645591589,0.7602573985847119
contact_pred_rolling_60,0.4666666666666667,0.7508056522068863,0.604096647599375,0.7601744638355623
contact_pred_rolling_48,0.4666666666666667,0.747945499887538,0.6161320897373086,0.7600980066180433
contact_pred_rolling_45,0.4666666666666667,0.7468340603592234,0.6197151552332479,0.7600572358650074
contact_pred_rolling_66,0.4666666666666667,0.748191113576995,0.5950082903839391,0.7598570184462496
contact_pred_rolling_27,0.4666666666666667,0.7385740579957936,0.6329471306900507,0.7591757310598086
contact_pred_rolling_24,0.4,0.7386189515079117,0.6097176315520303,0.7589046591048605
contact_pred_rolling_33,0.4666666666666667,0.7421916484623216,0.6285699933929773,0.7588507377790393
contact_pred_rolling_36,0.4666666666666667,0.7449147267252264,0.6256498027326737,0.7587391154666498
contact_pred_rolling_18,0.43333333333333335,0.7318565071121719,0.6268119615183199,0.7586419946514243
contact_pred_rolling_24,0.4666666666666667,0.738142608999525,0.6348094817560808,0.7581836878112667
contact_pred_rolling_51,0.4666666666666667,0.7496782149395365,0.6141199331212976,0.7579537396127959
contact_pred_rolling_30,0.4666666666666667,0.7405287865004058,0.6317874325856285,0.7578558867020702
contact_pred_rolling_21,0.43333333333333335,0.7347427859342076,0.6251951445018287,0.7578385754522615
contact_pred_rolling_63,0.4666666666666667,0.7485322042789252,0.5990863373241881,0.7577771144173656
contact_pred_rolling_69,0.4666666666666667,0.7491368072258474,0.5926526505006041,0.7575376042123888
contact_pred_rolling_18,0.4666666666666667,0.7319020495874209,0.6381801086667556,0.7573170074615612
contact_pred_rolling_27,0.43333333333333335,0.7401846963672408,0.6203132210354367,0.7569646453102885
contact_pred_rolling_18,0.4,0.7298458327576185,0.614740684439049,0.7568677942275449
contact_pred_rolling_15,0.4666666666666667,0.7270244514717145,0.6388360841615783,0.7567457224175992
contact_pred_rolling_21,0.4666666666666667,0.7344520657716747,0.6359936700021239,0.7566750563217561
contact_pred_rolling_21,0.4,0.7341651897704214,0.611228937108759,0.7563269761071285
contact_pred_rolling_15,0.43333333333333335,0.726693416862077,0.6281255154203159,0.7558766303316085
contact_pred_rolling_15,0.4,0.7247777486834064,0.6164589283137558,0.7558280066904942
contact_pred_rolling_12,0.4666666666666667,0.7232239575645389,0.6409824969182849,0.7551673999676929
contact_pred_rolling_12,0.43333333333333335,0.7220962261056894,0.6305763567310287,0.7550098921573567
