col,thresh,full,average,final
contact_pred_rolling_67,0.3263157894736842,0.7658832933347508,0.8099950655529132,0.7877415009614734
contact_pred_rolling_54,0.3,0.7736014778827849,0.8099909542805126,0.7877185271998219
contact_pred_rolling_63,0.3,0.7644710485725815,0.8099205668730866,0.7876507402883705
contact_pred_rolling_36,0.3263157894736842,0.7642924086297396,0.8098632132757387,0.7876145077386868
contact_pred_rolling_69,0.3263157894736842,0.7681825294369836,0.8098632132757387,0.7876145077386868
contact_pred_rolling_64,0.3,0.766927671033593,0.809858558580231,0.7875920141468707
contact_pred_rolling_44,0.3,0.7685510207772565,0.8098425898462946,0.7875746530714608
contact_pred_rolling_70,0.3,0.7674190055280116,0.8098236450137108,0.7875534414702693
contact_pred_rolling_59,0.3,0.7685107839692038,0.8098236450137108,0.7875534414702693
contact_pred_rolling_54,0.3263157894736842,0.7710590469245031,0.8097752148031194,0.7875287422847024
contact_pred_rolling_40,0.3,0.7665368175285671,0.8097799681636036,0.7875153348734191
contact_pred_rolling_66,0.3,0.7658682485672947,0.8097649265516035,0.7874988691403578
contact_pred_rolling_74,0.3263157894736842,0.7716040313900305,0.8097092243007898,0.7874651829755553
contact_pred_rolling_55,0.3,0.7713810713366787,0.8096105376169687,0.7873482077003542
contact_pred_rolling_68,0.3263157894736842,0.7687556394931342,0.8095553165809757,0.7873159370911372
contact_pred_rolling_35,0.3263157894736842,0.7630568335600211,0.8094014900436738,0.7871667700149253
contact_pred_rolling_50,0.3,0.7691171882396272,0.8094048305260719,0.7871510832537976
contact_pred_rolling_60,0.3263157894736842,0.7704141325381443,0.8093353708535446,0.7871030853487035
contact_pred_rolling_39,0.3,0.764665536675552,0.8093272013802147,0.7870753341709177
contact_pred_rolling_34,0.3263157894736842,0.7631055956369609,0.8092916377004665,0.7870619669059343
contact_pred_rolling_41,0.3,0.766355730935371,0.809256512310891,0.7870072544176735
contact_pred_rolling_51,0.3,0.7690461076502868,0.8091858815061679,0.7869392303761932
contact_pred_rolling_46,0.3,0.7698804602493347,0.8091790483833985,0.7869316655101164
contact_pred_rolling_67,0.3,0.7652054984742969,0.8091018971170993,0.7868563788487324
contact_pred_rolling_65,0.3,0.765527921125891,0.8091018971170993,0.7868563788487324
contact_pred_rolling_61,0.3263157894736842,0.7677645287796591,0.809073522226875,0.7868478703956653
contact_pred_rolling_49,0.3263157894736842,0.7700861381815647,0.8089173327351817,0.7866994294499121
contact_pred_rolling_33,0.3263157894736842,0.7617622010009403,0.8088740841480736,0.7866557720340147
contact_pred_rolling_53,0.3,0.7709216702263544,0.8088892913260802,0.7866516180265992
contact_pred_rolling_58,0.3263157894736842,0.7710810109046673,0.8088292234765722,0.7866135609994229
contact_pred_rolling_48,0.3,0.7696255252218117,0.8088120097061463,0.786576206732927
contact_pred_rolling_56,0.3263157894736842,0.771760622707733,0.8086752483096279,0.7864642505069304
contact_pred_rolling_59,0.3263157894736842,0.7695866893224743,0.8085004236797938,0.7862938623915285
contact_pred_rolling_37,0.3263157894736842,0.7630152076368992,0.8084802315972323,0.786273418592702
contact_pred_rolling_44,0.3263157894736842,0.768254916914495,0.8084551122309693,0.7862512122475884
contact_pred_rolling_43,0.3,0.7668941450343975,0.8084511961392491,0.7862277204640158
contact_pred_rolling_69,0.3,0.7655106407269335,0.8084237477591575,0.786195434561724
contact_pred_rolling_73,0.3,0.7659774083749012,0.8084198192077316,0.786189707003028
contact_pred_rolling_68,0.3,0.7670146458023823,0.8083681838020483,0.7861458159626877
contact_pred_rolling_46,0.3263157894736842,0.7680838252022036,0.8083228300982682,0.7861237926421161
contact_pred_rolling_37,0.3,0.7624878898157029,0.8083029850718051,0.7860839962798346
contact_pred_rolling_32,0.3263157894736842,0.7615906586200412,0.8080810009853665,0.7858888634957539
contact_pred_rolling_42,0.3263157894736842,0.768345913131782,0.8080810009853665,0.7858888634957539
contact_pred_rolling_36,0.3,0.7637615581197621,0.8080904415569427,0.7858792850815383
contact_pred_rolling_38,0.3263157894736842,0.7657395121950848,0.8079732915898901,0.7857831308575769
contact_pred_rolling_72,0.3,0.7679784503362592,0.8079823361194163,0.7857664256578146
