col,thresh,full,average,distance,final
contact_pred_rolling_9,0.6,0.644384007153431,0.6530404904432411,0.4444444444444444,0.7030976248626766
contact_pred_rolling_10,0.6,0.6460486566153191,0.6534474600095004,0.0,0.7030942056245223
contact_pred_rolling_9,0.6,0.644384007153431,0.6530404904432411,0.5555555555555556,0.7030761298146924
contact_pred_rolling_13,0.6,0.647081410632817,0.6532980116629155,0.2222222222222222,0.7030306064252474
contact_pred_rolling_9,0.6,0.644384007153431,0.6530404904432411,0.0,0.7029189758638985
contact_pred_rolling_14,0.6,0.6478856052687173,0.6533402128157488,0.2222222222222222,0.7029104323712648
contact_pred_rolling_16,0.6,0.6484434339228262,0.6535829202970475,0.2222222222222222,0.7027856819828963
contact_pred_rolling_5,0.6,0.6404072616375422,0.6514175375988419,0.2222222222222222,0.7027199796270007
contact_pred_rolling_1,0.6,0.6366753044274928,0.6506567780896528,0.2222222222222222,0.7027030997740504
contact_pred_rolling_13,0.6,0.647081410632817,0.6532980116629155,0.1111111111111111,0.702701132834884
contact_pred_rolling_13,0.6,0.647081410632817,0.6532980116629155,0.3333333333333333,0.7026930038987752
contact_pred_rolling_2,0.6,0.6386236818594676,0.6509589162911824,0.2222222222222222,0.7026545875753046
contact_pred_rolling_13,0.6,0.647081410632817,0.6532980116629155,0.4444444444444444,0.7026477314448808
contact_pred_rolling_13,0.6,0.647081410632817,0.6532980116629155,0.5555555555555556,0.7026023140056146
contact_pred_rolling_8,0.6,0.6441631607468503,0.6517898356758993,0.2222222222222222,0.7025963995932756
contact_pred_rolling_7,0.6,0.6425054776877706,0.6515181073936066,0.2222222222222222,0.7025831382500352
contact_pred_rolling_14,0.6,0.6478856052687173,0.6533402128157488,0.1111111111111111,0.7025810880899962
contact_pred_rolling_14,0.6,0.6478856052687173,0.6533402128157488,0.3333333333333333,0.7025711206032123
contact_pred_rolling_14,0.6,0.6478856052687173,0.6533402128157488,0.4444444444444444,0.7025243310005269
contact_pred_rolling_13,0.6,0.647081410632817,0.6532980116629155,0.0,0.7024825408769979
contact_pred_rolling_14,0.6,0.6478856052687173,0.6533402128157488,0.5555555555555556,0.7024731909024731
contact_pred_rolling_6,0.6,0.6419849591639329,0.6513259147483054,0.2222222222222222,0.7024666382581801
