col,thresh,full,average,final
contact_pred_rolling_70,0.4666666666666667,0.7661119772219478,0.5613201452668531,0.7801011174392167
contact_pred_rolling_66,0.4,0.7537050961431344,0.5358760612435282,0.7795965590488485
contact_pred_rolling_70,0.4,0.754363265320938,0.5335005340354925,0.7794578381197921
contact_pred_rolling_73,0.4,0.7537025202454957,0.5296054402793012,0.7792375839519272
contact_pred_rolling_68,0.4,0.7546716115968194,0.5343226674925526,0.7791422590097519
contact_pred_rolling_71,0.4666666666666667,0.7644177693009305,0.5618921764367468,0.7791303596118924
contact_pred_rolling_70,0.5333333333333333,0.7685612064536675,0.5941778558664298,0.7789134724891353
contact_pred_rolling_72,0.4666666666666667,0.7646231226174964,0.5611122737288571,0.7788922220548566
contact_pred_rolling_67,0.5333333333333333,0.7662404954185335,0.5967279898459373,0.7788113160367209
contact_pred_rolling_74,0.4,0.7523866444824651,0.5296219939046941,0.7787734197941029
contact_pred_rolling_72,0.4,0.7550570935402682,0.5321779748971192,0.7786505810827153
contact_pred_rolling_66,0.5333333333333333,0.7656121407417464,0.5973620796597122,0.7786206755996902
contact_pred_rolling_68,0.5333333333333333,0.7686655077147762,0.5957095179333661,0.7785826146607847
contact_pred_rolling_69,0.4,0.7534266744678997,0.533310304741467,0.778470319338071
contact_pred_rolling_69,0.5333333333333333,0.767563455874328,0.5959381981961053,0.7780635501326236
contact_pred_rolling_65,0.5333333333333333,0.7647382585263166,0.5976816182053641,0.7779275293298272
contact_pred_rolling_74,0.4666666666666667,0.7635713039910765,0.5587590054952746,0.7775200426636724
contact_pred_rolling_67,0.4,0.7539668054402662,0.5345643617111069,0.7774251453202489
contact_pred_rolling_71,0.4,0.7536827188870112,0.5325670305540804,0.7772039466185008
contact_pred_rolling_73,0.4666666666666667,0.763720127874021,0.5602324674724429,0.7771465537553124
contact_pred_rolling_71,0.5333333333333333,0.7672624398783283,0.5935288904829762,0.7771387635273763
contact_pred_rolling_22,0.4666666666666667,0.737318123947139,0.5968598282269121,0.7765520832360389
contact_pred_rolling_65,0.4,0.7524400079017171,0.5354573088763617,0.7761388150673895
contact_pred_rolling_24,0.4666666666666667,0.738982981238682,0.5954304693544458,0.7759385826421961
contact_pred_rolling_73,0.5333333333333333,0.7656991565344273,0.5914585702743718,0.7753383871523628
contact_pred_rolling_24,0.5,0.7423277182251495,0.6123595386470416,0.7750841599534867
contact_pred_rolling_66,0.5666666666666667,0.7646770344320996,0.6131732627874305,0.7750502249152345
contact_pred_rolling_23,0.4666666666666667,0.7371861833506513,0.5963026629977561,0.7749297737362602
contact_pred_rolling_18,0.5,0.735481872649482,0.6147006947004168,0.7747766509998482
contact_pred_rolling_20,0.5,0.7383521020558229,0.6133455386390853,0.7747700487279262
contact_pred_rolling_20,0.4666666666666667,0.7353235159913213,0.5975192681108277,0.7747518002172297
contact_pred_rolling_21,0.4666666666666667,0.7353270481646415,0.5968878589876749,0.7747374701741869
contact_pred_rolling_22,0.5,0.7410577917705522,0.6130710724769881,0.7746537928086056
contact_pred_rolling_72,0.5333333333333333,0.7662762641210158,0.592713810511473,0.7746270268427584
contact_pred_rolling_18,0.4666666666666667,0.731941046599883,0.5978721454313617,0.7743974994068223
contact_pred_rolling_19,0.5,0.7360520918289231,0.6139175557123063,0.7743869881722582
contact_pred_rolling_16,0.5,0.7332265136754219,0.6154310707071042,0.7743194881629684
contact_pred_rolling_74,0.5333333333333333,0.765738324088548,0.5909182648193941,0.7740960868275472
contact_pred_rolling_21,0.5,0.737821259779964,0.6129517651345283,0.7740759889750993
contact_pred_rolling_65,0.5666666666666667,0.7644509193130622,0.6138529378237263,0.7739965582009382
contact_pred_rolling_23,0.5,0.7406614367722415,0.612645307578232,0.7739781102304273
contact_pred_rolling_17,0.4666666666666667,0.7305969214714855,0.5991738874705725,0.7734846551753679
