col,thresh,full,average,distance,final
contact_pred_rolling_14,0.5263157894736842,0.6751636218400769,0.6955417799744377,0.5,0.7492679885948678
contact_pred_rolling_15,0.5157894736842106,0.6745793990026775,0.6947674332994047,0.5,0.749255789377486
contact_pred_rolling_16,0.5263157894736842,0.6767862442536624,0.6955098923143489,0.5,0.7492529922591051
contact_pred_rolling_17,0.5052631578947369,0.6759461224216479,0.6940867479313915,0.5,0.7492283090624529
contact_pred_rolling_14,0.45263157894736844,0.6712803589966848,0.6904245214838114,0.5,0.7492271250456407
contact_pred_rolling_17,0.5157894736842106,0.6758388523331827,0.6947881299823827,0.5,0.7492067398118737
contact_pred_rolling_19,0.49473684210526314,0.6764232730626576,0.6933043850270872,0.5,0.7491860435433714
contact_pred_rolling_21,0.49473684210526314,0.6769299900547741,0.6933298195345455,0.5,0.7491510448065494
contact_pred_rolling_13,0.4631578947368421,0.6705520601250661,0.6910334127025314,0.5,0.7491398893895154
contact_pred_rolling_18,0.45263157894736844,0.6728391180375947,0.6903767633397222,0.5,0.7491387666039641
contact_pred_rolling_22,0.5473684210526315,0.6810109117017354,0.6972769695906559,0.5,0.7491133665845702
contact_pred_rolling_14,0.5368421052631579,0.675111845138185,0.6959340092536379,0.5,0.7490561958852375
contact_pred_rolling_18,0.5473684210526315,0.6789185625419399,0.6968920377851154,0.5,0.749005855673415
contact_pred_rolling_21,0.5473684210526315,0.6795619769394723,0.6970709982185892,0.5,0.7489978821635226
contact_pred_rolling_15,0.5052631578947369,0.6741284520785894,0.6935600977328532,0.5,0.748963203074398
contact_pred_rolling_24,0.5473684210526315,0.6813260835699689,0.6972141837756152,0.5,0.7489456562567749
contact_pred_rolling_11,0.5157894736842106,0.6709631696801205,0.6941592239689616,0.5,0.7489336868220715
contact_pred_rolling_19,0.5263157894736842,0.6774074809527255,0.6952902279883716,0.5,0.7489204262643023
contact_pred_rolling_19,0.4421052631578948,0.6712467315874487,0.6894914606090551,0.5,0.7489192696950339
contact_pred_rolling_18,0.4421052631578948,0.6714460001631696,0.6894743441844642,0.5,0.7489134835852865
contact_pred_rolling_12,0.45263157894736844,0.6699705182444123,0.6900759819904786,0.5,0.7488878996967849
contact_pred_rolling_23,0.5263157894736842,0.679886586815818,0.6953298171020583,0.5,0.7488249831831373
contact_pred_rolling_19,0.5368421052631579,0.6780192482585988,0.6958627307404919,0.5,0.7488108645664837
contact_pred_rolling_16,0.5368421052631579,0.6769236244210209,0.6956249286669381,0.5,0.7487388632071967
contact_pred_rolling_13,0.45263157894736844,0.6700155677501958,0.689859971660142,0.5,0.748738785128271
